Wavelength(nm)	n	k
6.24000e+03	3.46983e+00	2.00030e-06
6.25000e+03	3.46983e+00	2.01380e-06
6.26000e+03	3.46983e+00	2.02750e-06
6.27000e+03	3.46983e+00	2.04130e-06
6.28000e+03	3.46983e+00	2.05510e-06
6.29000e+03	3.46983e+00	2.06910e-06
6.30000e+03	3.46983e+00	2.08310e-06
6.31000e+03	3.46983e+00	2.09720e-06
6.32000e+03	3.46983e+00	2.11150e-06
6.33000e+03	3.46983e+00	2.12580e-06
6.34000e+03	3.46983e+00	2.14020e-06
6.35000e+03	3.46983e+00	2.15470e-06
6.36000e+03	3.46983e+00	2.16940e-06
6.37000e+03	3.46983e+00	2.18410e-06
6.38000e+03	3.46983e+00	2.19890e-06
6.39000e+03	3.46983e+00	2.21380e-06
6.40000e+03	3.46983e+00	2.22890e-06
6.41000e+03	3.46983e+00	2.24400e-06
6.42000e+03	3.46983e+00	2.25920e-06
6.43000e+03	3.46983e+00	2.27460e-06
6.44000e+03	3.46983e+00	2.29000e-06
6.45000e+03	3.46983e+00	2.30560e-06
6.46000e+03	3.46983e+00	2.32130e-06
6.47000e+03	3.46983e+00	2.33700e-06
6.48000e+03	3.46983e+00	2.35290e-06
6.49000e+03	3.46983e+00	2.36890e-06
6.50000e+03	3.46983e+00	2.38500e-06
6.51000e+03	3.46983e+00	2.40130e-06
6.52000e+03	3.46983e+00	2.41760e-06
6.53000e+03	3.46983e+00	2.43410e-06
6.54000e+03	3.46983e+00	2.45060e-06
6.55000e+03	3.46983e+00	2.46730e-06
6.56000e+03	3.46983e+00	2.48410e-06
6.57000e+03	3.46983e+00	2.50110e-06
6.58000e+03	3.46983e+00	2.51810e-06
